StudentID,CourseName,TotalTimeSpent,QuizzesAttempted,ForumPosts,AssignmentScore,CertificateEarned,DeviceType
512e8155-142b-49be-9f71-33223fff628b,Data Prep,93.0,2,7,86.2,Yes,Mobile
a78b82b7-adce-49a4-9114-6e92b5e8cff7,ML Basics,78.2,7,3,83.9,No,Mobile
1f18b5fd-47ec-473b-bbba-81486c6414d5,ML Basics,64.0,5,2,65.3,Yes,Mobile
6374eed2-d350-4e2d-bb6a-520ab7b597d3,Data Prep,21.7,5,6,50.2,No,Mobile
13f5ad9e-e418-4703-b8f3-06d471097bf9,Data Prep,56.3,5,5,72.1,Yes,Mobile
c4bc8f38-7431-4288-bee8-dcefd0952a9f,AI Ethics,92.3,4,4,0.6,No,Mobile
c3c5e3a9-4de3-4683-b556-a7f3241bdb94,AI Ethics,82.5,5,3,59.2,No,Desktop
129cff78-9044-4269-9026-5885aa211648,Data Prep,27.8,1,1,84.7,No,Tablet
b0bae2a6-e442-41d4-a173-b405b0a4a8e4,AI Ethics,75.4,3,4,35.7,Yes,Tablet
b62438c6-0142-4b4b-8b05-f67261a30469,Data Prep,73.2,3,1,10.8,Yes,Desktop
b4f6c4c7-9a79-4b85-a6e5-7e93a2c0afbc,ML Basics,68.7,3,1,42.1,No,Tablet
90e01805-df49-4d80-88b4-a4be2f99eff9,ML Basics,59.3,9,5,72.7,Yes,Mobile
3e208cbe-c710-4a0e-b437-47b980f2702b,DL Advanced,76.6,2,2,10.7,No,Mobile
b4d284ac-8979-47b7-902f-eed35bb9e111,ML Basics,77.4,3,4,20.6,No,Tablet
4cfb4ffe-3930-4c2d-8b27-eb455ea752b2,Data Prep,44.0,5,6,14.8,Yes,Mobile
f7b8f82f-5d64-4fdb-8718-19d5a27c539f,AI Ethics,71.4,4,3,79.7,No,Mobile
053fadca-7106-40f9-b412-886d7591cef3,DL Advanced,55.3,3,1,6.3,No,Tablet
059826ab-6cc5-4f17-9e94-b178b7b26638,AI Ethics,22.8,3,3,68.7,Yes,Desktop
5c2f410e-b2e5-4066-b61f-e425784d66f7,Data Prep,46.0,0,2,36.6,Yes,Tablet
3c512515-1afd-462e-9629-3bb4e6cbcb30,ML Basics,20.9,2,4,75.6,No,Tablet
9c2497ef-d0ce-4861-9885-1a075f9b7f0b,DL Advanced,84.5,7,2,96.4,Yes,Tablet
9ae57909-a8be-45bd-ab5f-f43d3b2642bc,Data Prep,68.9,4,5,11.5,No,Tablet
4317b919-4ea4-41ec-b5f0-b62ad20e9f1d,DL Advanced,51.1,3,3,31.4,Yes,Desktop
48d4d75a-b1fb-42d1-ae0d-4cdcda14abe3,DL Advanced,95.5,11,4,81.0,No,Desktop
b8602d69-219a-474f-8ea5-751f0dd04ee0,ML Basics,61.7,2,3,26.6,Yes,Mobile
abbf3f01-f0e9-4766-86a3-41f224b883f6,Data Prep,24.2,6,3,21.5,No,Mobile
ce15b90e-ef94-429a-8e17-99233b69095e,AI Ethics,49.0,11,0,82.5,No,Tablet
2b8516e2-24de-48b8-958b-d2b1c1641d78,DL Advanced,320.0,3,3,98.7,Yes,Mobile
f62db45b-6fb1-4656-8e19-0d8b9da415a9,DL Advanced,43.3,5,0,55.7,Yes,Desktop
330ecaf6-40f3-4a8c-9355-79cdbe6e403d,AI Ethics,66.9,6,3,27.8,No,Mobile
76331688-01dc-45c9-a8d6-8088a84fe2c2,Data Prep,78.6,4,5,39.9,No,Mobile
0ea3592c-8331-4601-934a-87de8c8eefc5,DL Advanced,74.7,3,2,17.0,Yes,Mobile
b1d44599-8b4d-4ec4-8a8b-f86e26fbf2f7,DL Advanced,121.2,10,0,76.2,No,Tablet
cbd576eb-5882-4bc8-bdde-4b8f1afd6230,DL Advanced,30.6,2,5,77.3,Yes,Mobile
25ed4b32-2b1a-4a90-8188-e6c6ab16cf34,Data Prep,33.1,4,3,87.5,Yes,Desktop
6c18964e-d4eb-481b-911f-ee5f3fe4d1e4,Data Prep,31.0,7,2,2.7,No,Desktop
607356e5-6d1f-40e6-b840-226c1edc9682,AI Ethics,52.6,6,3,56.2,No,Desktop
63749443-d97a-4c0f-abe3-6ec43fec4274,Data Prep,87.5,7,2,21.4,Yes,Desktop
f244a000-ff63-4d76-ac4e-10bc684488e1,Data Prep,34.2,5,3,34.1,No,Mobile
1a181e60-479a-4ba1-9550-d36d93ffd95d,ML Basics,87.8,7,4,78.5,Yes,Tablet
b2565bda-4506-4927-8ab9-45044ed1a83f,AI Ethics,60.9,1,1,19.2,No,Desktop
3e34b315-ab5d-4710-8211-dbbd88467537,DL Advanced,32.3,6,3,63.8,No,Desktop
